Timestamp_Sec,DateTime_UTC,Network,NetworkID,Protocol,ArbID_Hex,ArbID_Dec,Is_Extended,Is_Tx,Is_Error,DLC,Data_Hex,B0,B1,B2,B3,B4,B5,B6,B7
607201147.796482,2026-03-29 18:59:07.796482,HSCAN3,44,CAN,0x023,35,0,0,0,8,41 00 00 00 00 00 00 00,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.796674,2026-03-29 18:59:07.796674,HSCAN3,44,CAN,0x024,36,0,0,0,5,41 00 00 00 00,0x41,0x00,0x00,0x00,0x00,,,
607201147.796826,2026-03-29 18:59:07.796826,HSCAN3,44,CAN,0x040,64,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.797047,2026-03-29 18:59:07.797047,HSCAN3,44,CAN,0x041,65,0,0,0,7,41 00 F4 07 B6 03 00,0x41,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.797197,2026-03-29 18:59:07.797197,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.797419,2026-03-29 18:59:07.797419,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.797653,2026-03-29 18:59:07.797653,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.797804,2026-03-29 18:59:07.797804,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.798026,2026-03-29 18:59:07.798026,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.798140,2026-03-29 18:59:07.798140,HSCAN3,44,CAN,0x011,17,0,0,0,1,50,0x50,,,,,,,
607201147.798257,2026-03-29 18:59:07.798257,HSCAN3,44,CAN,0x010,16,0,0,0,1,50,0x50,,,,,,,
607201147.895056,2026-03-29 18:59:07.895056,HSCAN3,44,CAN,0x020,32,0,0,0,3,81 87 F0,0x81,0x87,0xF0,,,,,
607201147.895306,2026-03-29 18:59:07.895307,HSCAN3,44,CAN,0x021,33,0,0,0,8,81 10 9D 05 20 00 00 40,0x81,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.895495,2026-03-29 18:59:07.895494,HSCAN3,44,CAN,0x022,34,0,0,0,5,81 10 00 22 00,0x81,0x10,0x00,0x22,0x00,,,
